|---------------------------------------------------------------|
|                 | DAMON      | PATCHED   | VANILLA (NO DAMON) |
| --------------- | ---------- | --------- | ------------------ |
| PSI SOME (P99)  |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| CPU             | 0.04       | 0.08      | 0.05               |
| MEMORY          | 26.33      | 26.24     | 28.62              |
| IO              | 0.01       | 0.01      | 0.01               |
|                 |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| FAULT (P99)     |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| FAULT/s         | 104,503.59 | 71,060.31 | 80,330.25          |
| MAJFLT/s        | 53,277.03  | 44,035.56 | 47,437.59          |
|                 |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| DAMON STATS     |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| REGIONS TRIED   | 1,819      | 690       |                    |
| SIZE TRIED      | 13.73 GiB  | 20.68 GiB |                    |
| REGIONS APPLIED | 1,819      | 682       |                    |
| SIZE APPLIED    | 13.73 GiB  | 20.66 GiB |                    |
| QUOTA EXCEEDED  | 1,795      | 636       |                    |
|                 |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| REFAULT         |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| ANON            | 6,414,820  | 5,482,487 | 5,820,510          |
| FILE            | 10,524     | 9,502     | 8,934              |
|                 |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| PGSTEAL         |            |           |                    |
| --------------- | ---------- | --------- | ------------------ |
| KSWAPD          | 6,102,543  | 5,242,790 | 5,582,952          |
| DIRECT          | 369,485    | 345,695   | 362,443            |
|                 |            |           |                    |
|---------------------------------------------------------------|
