Linux 7.2.0-rc5-virtme (virtme-ng) 	07/31/26 	_x86_64_	(12 CPU)

20:13:55     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
20:14:00         0.00      0.00 294009.98      8.18    139.52      0.00      0.00      0.00      0.00      0.00
20:14:05         0.00      0.00 125138.80      0.40      0.00      0.00      0.00      0.00      0.00      0.00
20:14:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:35         0.00      0.00 221869.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:40         0.00      0.00  29791.40      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:14:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:10         0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00
20:15:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:45         0.00      0.00  81328.60      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:15:50       704.00  92909.60  87554.60    183.20  25276.60  66624.80  54089.00  50379.60      0.00      0.00
20:15:55        74.40      0.00     24.00     19.20      2.20      0.00      0.00      0.00      0.00      0.00
20:16:00         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
20:16:05         3.20      0.00      0.80      0.80      0.80      0.00      0.00      0.00      0.00      0.00
20:16:10         0.80      0.00      0.20      0.20      0.20      0.00      0.00      0.00      0.00      0.00
20:16:15         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
20:16:20         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
20:16:25         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:16:30         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
20:16:35         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:16:40         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:16:45         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
20:16:50         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:16:55         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:17:00         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:17:05         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:17:10         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:17:15         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:17:20         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:17:25         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
20:17:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
20:17:35         0.80      0.00      0.20      0.20      0.20      0.00      0.00      0.00      0.00      0.00
20:17:40         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:17:45         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
20:17:50         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:17:55         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
20:18:00         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
20:18:05         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
