Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

20:04:59     %scpu-10  %scpu-60 %scpu-300     %scpu
20:05:04         0.02      0.02      0.00      0.06
20:05:09         0.01      0.02      0.00      0.02
20:05:14         0.00      0.01      0.00      0.15
20:05:19         0.00      0.01      0.00      0.22
20:05:24         0.00      0.01      0.00      0.25
20:05:29         0.00      0.01      0.00      0.33
20:05:34         0.00      0.01      0.00      0.27
20:05:39         0.00      0.00      0.00      0.29
20:05:44         0.00      0.00      0.00      0.20
20:05:49         0.00      0.00      0.00      0.14
20:05:54         0.00      0.00      0.00      0.21
20:05:59         0.00      0.00      0.00      0.24
20:06:04         0.00      0.00      0.00      0.03
20:06:09         0.00      0.00      0.00      0.07
20:06:14         0.00      0.00      0.00      0.13
20:06:19         0.00      0.00      0.00      0.08
20:06:24         0.00      0.00      0.00      0.03
20:06:29         0.00      0.00      0.00      0.04
20:06:34         0.00      0.00      0.00      0.03
20:06:39         0.00      0.00      0.00      0.05
20:06:44         0.00      0.00      0.00      0.11
20:06:49         0.00      0.00      0.00      0.13
20:06:54         0.00      0.00      0.00      0.07
20:06:59         0.00      0.00      0.00      0.06
20:07:04         0.00      0.00      0.00      0.03
20:07:09         0.00      0.00      0.00      0.03
20:07:14         0.00      0.00      0.00      0.06
20:07:20         0.00      0.00      0.00      0.06
20:07:25         0.00      0.00      0.00      0.16
20:07:30         0.00      0.00      0.00      0.08
20:07:35         0.00      0.00      0.00      0.07
20:07:40         0.00      0.00      0.00      0.08
20:07:45         0.00      0.00      0.00      0.04
20:07:50         0.00      0.00      0.00      0.07
20:07:55         0.00      0.00      0.00      0.04
20:08:00         0.00      0.00      0.00      0.09
20:08:05         0.00      0.00      0.00      0.12
20:08:10         0.00      0.00      0.00      0.07
20:08:15         0.00      0.00      0.00      0.04
20:08:20         0.00      0.00      0.00      0.11
20:08:25         0.00      0.00      0.00      0.06
20:08:30         0.00      0.00      0.00      0.07
20:08:35         0.00      0.00      0.00      0.05
20:08:40         0.00      0.00      0.00      0.07
20:08:45         0.00      0.00      0.00      0.02
20:08:50         0.00      0.00      0.00      0.13
20:08:55         0.00      0.00      0.00      0.04
20:09:00         0.00      0.00      0.00      0.02
20:09:05         0.00      0.00      0.00      0.04
20:09:10         0.00      0.00      0.00      0.07
20:09:15         0.00      0.00      0.00      0.01
20:09:20         0.00      0.00      0.00      0.03
20:09:25         0.00      0.00      0.00      0.18
20:09:30         0.00      0.00      0.00      0.02
20:09:35         0.00      0.00      0.00      0.02
20:09:40         0.00      0.00      0.00      0.08
20:09:45         0.00      0.00      0.00      0.01
20:09:50         0.00      0.00      0.00      0.10
20:09:55         0.00      0.00      0.00      0.06
20:10:00         0.00      0.00      0.00      0.06
20:10:05         0.00      0.00      0.00      0.04
20:10:10         0.00      0.00      0.00      0.14
20:10:15         0.00      0.00      0.00      0.04
20:10:20         0.00      0.00      0.00      0.09
20:10:25         0.00      0.00      0.00      0.11
20:10:30         0.00      0.00      0.00      0.05
20:10:35         0.00      0.00      0.00      0.07
20:10:40         0.00      0.00      0.00      0.02
20:10:45         0.00      0.00      0.00      0.07
20:10:50         0.00      0.00      0.00      0.10
20:10:55         0.00      0.00      0.00      0.06
20:11:00         0.00      0.00      0.00      0.13
20:11:05         0.00      0.00      0.00      0.07
20:11:10         0.00      0.00      0.00      0.06
20:11:15         0.00      0.00      0.00      0.08
20:11:20         0.00      0.00      0.00      0.07
20:11:25         0.00      0.00      0.00      0.12
20:11:30         0.00      0.00      0.00      0.13
20:11:35         0.00      0.00      0.00      0.04
20:11:40         0.00      0.00      0.00      0.07
20:11:45         0.00      0.00      0.00      0.03
20:11:50         0.00      0.00      0.00      0.04
20:11:55         0.00      0.00      0.00      0.05
20:12:00         0.00      0.00      0.00      0.07
20:12:05         0.00      0.00      0.00      0.10
20:12:10         0.00      0.00      0.00      0.07
20:12:15         0.00      0.00      0.00      0.03
20:12:20         0.00      0.00      0.00      0.08
20:12:25         0.00      0.00      0.00      0.04
20:12:30         0.00      0.00      0.00      0.13
20:12:35         0.00      0.00      0.00      0.07
20:12:40         0.00      0.00      0.00      0.07
20:12:45         0.00      0.00      0.00      0.09
20:12:50         0.00      0.00      0.00      0.06
20:12:55         0.00      0.00      0.00      0.05
20:13:00         0.00      0.00      0.00      0.10
20:13:05         0.00      0.00      0.00      0.06
20:13:10         0.00      0.00      0.00      0.20
20:13:15         0.00      0.00      0.00      0.06
20:13:20         0.00      0.00      0.00      0.06
20:13:25         0.00      0.00      0.00      0.05
20:13:30         0.00      0.00      0.00      0.03
20:13:35         0.00      0.00      0.00      0.08
20:13:40         0.00      0.00      0.00      0.12
20:13:45         0.00      0.00      0.00      0.22
20:13:50         0.00      0.00      0.00      0.21
20:13:55         0.00      0.00      0.00      0.20
20:14:00         0.00      0.00      0.00      0.22
20:14:05         0.00      0.00      0.00      0.08
20:14:10         0.00      0.00      0.00      0.25
20:14:15         0.00      0.00      0.00      0.02
20:14:20         0.00      0.00      0.00      0.09
20:14:25         0.00      0.00      0.00      0.07
20:14:30         0.00      0.00      0.00      0.15
20:14:35         0.00      0.00      0.00      0.03
20:14:40         0.00      0.00      0.00      0.14
20:14:45         0.00      0.00      0.00      0.15
20:14:50         0.00      0.00      0.00      0.10
20:14:55         0.00      0.00      0.00      0.08
20:15:00         0.00      0.00      0.00      0.06
20:15:05         0.00      0.00      0.00      0.10
20:15:10         0.00      0.00      0.00      0.07
20:15:15         0.00      0.00      0.00      0.11
20:15:20         0.00      0.00      0.00      0.10
20:15:25         0.00      0.00      0.00      0.04
20:15:30         0.00      0.00      0.00      0.13
20:15:35         0.00      0.00      0.00      0.30
20:15:40         0.00      0.00      0.00      0.14
20:15:45         0.00      0.00      0.00      0.07
20:15:50         0.00      0.00      0.00      0.14
20:15:55         0.00      0.00      0.00      0.14
20:16:00         0.00      0.00      0.00      0.15
20:16:05         0.00      0.00      0.00      0.09
20:16:10         0.00      0.00      0.00      0.22
20:16:15         0.00      0.00      0.00      0.21
20:16:20         0.00      0.00      0.00      0.14
20:16:25         0.00      0.00      0.00      0.29
20:16:30         0.00      0.00      0.00      0.17
20:16:35         0.00      0.00      0.00      0.13
20:16:40         0.00      0.00      0.00      0.14
20:16:45         0.00      0.00      0.00      0.09
20:16:50         0.00      0.00      0.00      0.17
20:16:55         0.00      0.00      0.00      0.17
20:17:00         0.00      0.00      0.00      0.37
20:17:05         0.00      0.00      0.00      0.14
20:17:10         0.00      0.00      0.00      0.23
20:17:15         0.00      0.00      0.00      0.09
20:17:20         0.00      0.00      0.00      0.04
20:17:25         0.00      0.00      0.00      0.04
20:17:30         0.00      0.00      0.00      0.10
20:17:35         0.00      0.00      0.00      0.09
20:17:40         0.00      0.00      0.00      0.05
20:17:45         0.00      0.00      0.00      0.20
20:17:50         0.00      0.00      0.00      0.12
20:17:55         0.00      0.00      0.00      0.09
20:18:00         0.00      0.00      0.00      0.21
20:18:05         0.00      0.00      0.00      0.12
20:18:10         0.00      0.00      0.00      0.03
20:18:15         0.00      0.00      0.00      0.10
20:18:20         0.00      0.00      0.00      0.04
20:18:25         0.00      0.00      0.00      0.09
20:18:30         0.00      0.00      0.00      0.12
20:18:35         0.00      0.00      0.00      0.07
20:18:40         0.00      0.00      0.00      0.06
20:18:45         0.00      0.00      0.00      0.08
20:18:50         0.00      0.00      0.00      0.04
20:18:55         0.00      0.00      0.00      0.03
20:19:00         0.00      0.00      0.00      0.08
20:19:05         0.00      0.00      0.00      0.07
20:19:10         0.00      0.00      0.00      0.08
20:19:15         0.00      0.00      0.00      0.10
20:19:20         0.00      0.00      0.00      0.08
20:19:25         0.00      0.00      0.00      0.04
20:19:30         0.00      0.00      0.00      0.07
20:19:35         0.00      0.00      0.00      0.05
20:19:40         0.00      0.00      0.00      0.12
20:19:45         0.00      0.00      0.00      0.06
20:19:50         0.00      0.00      0.00      0.05
20:19:55         0.00      0.00      0.00      0.07
20:20:00         0.00      0.00      0.00      0.07
20:20:05         0.00      0.00      0.00      0.06
20:20:10         0.00      0.00      0.00      0.04
20:20:15         0.00      0.00      0.00      0.07
20:20:20         0.00      0.00      0.00      0.14
20:20:25         0.00      0.00      0.00      0.04
20:20:30         0.00      0.00      0.00      0.03
20:20:35         0.00      0.00      0.00      0.02
20:20:40         0.00      0.00      0.00      0.07
20:20:45         0.00      0.00      0.00      0.17
20:20:50         0.00      0.00      0.00      0.07
20:20:55         0.00      0.00      0.00      0.08
20:21:00         0.00      0.00      0.00      0.14
20:21:05         0.00      0.00      0.00      0.09
20:21:10         0.00      0.00      0.00      0.08
20:21:15         0.00      0.00      0.00      0.21
20:21:20         0.00      0.00      0.00      0.05
20:21:25         0.00      0.00      0.00      0.08
20:21:30         0.00      0.00      0.00      0.18
20:21:35         0.00      0.00      0.00      0.28
20:21:40         0.00      0.00      0.00      0.07
20:21:45         0.00      0.00      0.00      0.10
20:21:50         0.00      0.00      0.00      0.12
20:21:55         0.00      0.00      0.00      0.07
20:22:00         0.00      0.00      0.00      0.04
20:22:05         0.00      0.00      0.00      0.13
20:22:10         0.00      0.00      0.00      0.04
20:22:15         0.00      0.00      0.00      0.04
20:22:20         0.00      0.00      0.00      0.13
20:22:25         0.00      0.00      0.00      0.08
20:22:30         0.00      0.00      0.00      0.16
20:22:35         0.00      0.00      0.00      0.11
20:22:40         0.00      0.00      0.00      0.35
20:22:45         0.00      0.00      0.00      0.18
20:22:50         0.00      0.00      0.00      0.27
20:22:55         0.00      0.00      0.00      0.12
20:23:00         0.00      0.00      0.00      0.26
20:23:05         0.00      0.00      0.00      0.24
20:23:10         0.00      0.00      0.00      0.27
20:23:15         0.00      0.00      0.00      0.21
20:23:20         0.00      0.00      0.00      0.24
20:23:25         0.00      0.00      0.00      0.36
20:23:30         0.00      0.00      0.00      0.36
20:23:35         0.00      0.00      0.00      0.48
20:23:40         0.00      0.00      0.00      0.44
20:23:45         0.00      0.00      0.00      0.20
20:23:50         0.00      0.00      0.00      0.46
20:23:55         0.00      0.00      0.00      0.33
20:24:00         0.00      0.00      0.00      0.10
20:24:05         0.00      0.00      0.00      0.07
20:24:10         0.00      0.00      0.00      0.07
20:24:15         0.00      0.00      0.00      0.19
20:24:20         0.00      0.00      0.00      0.07
20:24:25         0.00      0.00      0.00      0.05
20:24:30         0.00      0.00      0.00      0.04
20:24:35         0.00      0.00      0.00      0.10
20:24:40         0.00      0.00      0.00      0.10
20:24:45         0.00      0.00      0.00      0.20
20:24:50         0.00      0.00      0.00      0.12
20:24:55         0.00      0.00      0.00      0.12
20:25:00         0.00      0.00      0.00      0.09
20:25:05         0.00      0.00      0.00      0.21
20:25:10         0.00      0.00      0.00      0.22
20:25:15         0.00      0.00      0.00      0.14
20:25:20         0.00      0.00      0.00      0.09
20:25:25         0.00      0.00      0.00      0.14
20:25:30         0.00      0.00      0.00      0.25
20:25:35         0.00      0.00      0.00      0.16
20:25:40         0.00      0.00      0.00      0.28
20:25:45         0.00      0.00      0.00      0.15
20:25:50         0.00      0.00      0.00      0.17
20:25:55         0.00      0.00      0.00      0.11
20:26:00         0.00      0.00      0.00      0.13
20:26:05         0.00      0.00      0.00      0.27
20:26:10         0.00      0.00      0.00      0.26
20:26:15         0.00      0.00      0.00      0.13
20:26:20         0.00      0.00      0.00      0.08
20:26:25         0.00      0.00      0.00      0.03
20:26:30         0.00      0.00      0.00      0.06
20:26:35         0.00      0.00      0.00      0.07
20:26:40         0.00      0.00      0.00      0.02
20:26:45         0.00      0.00      0.00      0.10
20:26:50         0.00      0.00      0.00      0.10
20:26:55         0.00      0.00      0.00      0.05
20:27:00         0.00      0.00      0.00      0.25
20:27:05         0.00      0.00      0.00      0.05
20:27:10         0.00      0.00      0.00      0.05
20:27:15         0.00      0.00      0.00      0.08
20:27:20         0.00      0.00      0.00      0.06
20:27:25         0.00      0.00      0.00      0.09
20:27:30         0.00      0.00      0.00      0.06
20:27:35         0.00      0.00      0.00      0.02
20:27:40         0.00      0.00      0.00      0.08
20:27:45         0.00      0.00      0.00      0.07
20:27:50         0.00      0.00      0.00      0.07
20:27:55         0.00      0.00      0.00      0.04
20:28:00         0.00      0.00      0.00      0.04
20:28:05         0.00      0.00      0.00      0.04
20:28:10         0.00      0.00      0.00      0.05
20:28:15         0.00      0.00      0.00      0.03
20:28:20         0.00      0.00      0.00      0.08
20:28:25         0.00      0.00      0.00      0.05
20:28:30         0.00      0.00      0.00      0.04
20:28:35         0.00      0.00      0.00      0.08
20:28:40         0.00      0.00      0.00      0.07
20:28:45         0.00      0.00      0.00      0.08
20:28:50         0.00      0.00      0.00      0.06
20:28:55         0.00      0.00      0.00      0.09
20:29:00         0.00      0.00      0.00      0.06
20:29:05         0.00      0.00      0.00      0.03
20:29:10         0.00      0.00      0.00      0.02
20:29:15         0.00      0.00      0.00      0.08
20:29:20         0.00      0.00      0.00      0.12
20:29:25         0.00      0.00      0.00      0.18
20:29:30         0.00      0.00      0.00      0.06
20:29:35         0.00      0.00      0.00      0.10
20:29:40         0.00      0.00      0.00      0.23
20:29:45         0.00      0.00      0.00      0.05
20:29:50         0.00      0.00      0.00      0.16
20:29:55         0.00      0.00      0.00      0.07
20:30:00         0.00      0.00      0.00      0.16
20:30:05         0.00      0.00      0.00      0.24
20:30:10         0.00      0.00      0.00      0.23
20:30:15         0.00      0.00      0.00      0.19
20:30:20         0.00      0.00      0.00      0.23
20:30:25         0.00      0.00      0.00      0.15
20:30:30         0.00      0.00      0.00      0.09
20:30:35         0.00      0.00      0.00      0.29
20:30:40         0.00      0.00      0.00      0.19
20:30:45         0.00      0.00      0.00      0.23
20:30:50         0.00      0.00      0.00      0.14
20:30:55         0.00      0.00      0.00      0.18
20:31:00         0.00      0.00      0.00      0.06
20:31:05         0.00      0.00      0.00      0.00
20:31:10         0.00      0.00      0.00      0.00
20:31:15         0.00      0.00      0.00      0.02
20:31:20         0.00      0.00      0.00      0.07
20:31:25         0.00      0.00      0.00      0.65
20:31:30         0.00      0.00      0.00      0.15
20:31:35         0.00      0.00      0.00      0.24
20:31:40         0.00      0.00      0.00      0.08
20:31:45         0.00      0.00      0.00      0.13
20:31:50         0.00      0.00      0.00      0.12
20:31:55         0.00      0.00      0.00      0.18
20:32:00         0.00      0.00      0.00      0.19
20:32:05         0.00      0.00      0.00      0.08
20:32:10         0.00      0.00      0.00      0.16
20:32:15         0.00      0.00      0.00      0.11
20:32:20         0.00      0.00      0.00      0.05
20:32:25         0.00      0.00      0.00      0.05
20:32:30         0.00      0.00      0.00      0.26
20:32:35         0.00      0.00      0.00      0.08
20:32:40         0.00      0.00      0.00      0.28
20:32:45         0.00      0.00      0.00      0.08
20:32:50         0.00      0.00      0.00      0.23
20:32:55         0.00      0.00      0.00      0.08
20:33:00         0.00      0.00      0.00      0.07
20:33:05         0.00      0.00      0.00      0.11
20:33:10         0.00      0.00      0.00      0.23
20:33:15         0.00      0.00      0.00      0.20
20:33:20         0.00      0.00      0.00      0.07
20:33:25         0.00      0.00      0.00      0.05
20:33:30         0.00      0.00      0.00      0.09
20:33:35         0.00      0.00      0.00      0.04
20:33:40         0.00      0.00      0.00      0.08
20:33:45         0.00      0.00      0.00      0.16
20:33:50         0.00      0.00      0.00      0.17
