Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

20:04:59      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
20:05:04         0.02      0.02      0.00      0.61      0.02      0.02      0.00      0.61
20:05:09         0.13      0.05      0.00      0.01      0.13      0.05      0.00      0.01
20:05:14         0.09      0.04      0.00      0.00      0.09      0.04      0.00      0.00
20:05:19         0.04      0.04      0.00      0.02      0.04      0.04      0.00      0.02
20:05:24         0.03      0.03      0.00      0.11      0.03      0.03      0.00      0.11
20:05:29         0.01      0.03      0.00      0.03      0.01      0.03      0.00      0.03
20:05:34         0.01      0.03      0.00      0.03      0.01      0.03      0.00      0.03
20:05:39         0.18      0.06      0.00      0.44      0.18      0.06      0.00      0.44
20:05:44         0.30      0.08      0.01      0.53      0.30      0.08      0.01      0.53
20:05:49         0.16      0.08      0.01      0.17      0.16      0.08      0.01      0.17
20:05:54         0.26      0.10      0.01      0.48      0.11      0.07      0.01      0.35
20:05:59         0.14      0.09      0.01      0.02      0.06      0.06      0.01      0.02
20:06:04         0.09      0.08      0.01      0.01      0.04      0.06      0.00      0.01
20:06:09         0.05      0.08      0.01      0.01      0.02      0.05      0.00      0.01
20:06:14         0.03      0.07      0.01      0.01      0.01      0.05      0.00      0.01
20:06:19         0.01      0.06      0.01      0.00      0.00      0.04      0.00      0.00
20:06:24         0.01      0.06      0.01      0.01      0.00      0.04      0.00      0.01
20:06:29         0.00      0.05      0.01      0.01      0.00      0.03      0.00      0.01
20:06:34         0.00      0.05      0.00      0.00      0.00      0.03      0.00      0.00
20:06:39         0.00      0.04      0.00      0.00      0.00      0.03      0.00      0.00
20:06:44         0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00
20:06:49         0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00
20:06:54         0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00
20:06:59         0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00
20:07:04         0.00      0.02      0.00      0.01      0.00      0.01      0.00      0.01
20:07:09         0.00      0.02      0.00      0.01      0.00      0.01      0.00      0.01
20:07:14         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
20:07:20         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
20:07:25         0.00      0.01      0.00      0.03      0.00      0.01      0.00      0.03
