Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

04:39:10     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
04:39:15         0.00      0.00 299558.00      7.60    153.00      0.00      0.00      0.00      0.00      0.00
04:39:20         0.00      0.00 120192.20      0.40      0.00      0.00      0.00      0.00      0.00      0.00
04:39:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:39:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:39:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:39:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:39:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:39:50         0.00      0.00 224723.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:39:55         0.00      0.00  26937.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:05         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:20         0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00
04:40:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:40:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:41:00         0.00      0.00  83022.60      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:41:05       771.20  92465.60  86601.60    200.80  25168.40  80734.20  88203.20  50191.60      0.00      0.00
04:41:10        69.60      0.00     23.20     17.60      1.80      0.00      0.00      0.00      0.00      0.00
04:41:15         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:41:20         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:41:25         0.80      0.00      0.20      0.20      0.20      0.00      0.00      0.00      0.00      0.00
04:41:30         0.80      0.00      0.20      0.20      0.20      0.00      0.00      0.00      0.00      0.00
04:41:35         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:41:40         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:41:45         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:41:50         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:41:55         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:42:00         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:42:05         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:42:10         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:42:15         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:42:20         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:42:25         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:42:30         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:42:35         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:42:40         3.20      0.00      0.80      0.80      0.80      0.00      0.00      0.00      0.00      0.00
04:42:45         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
04:42:50         0.00      1.60      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00
04:42:55         4.00     12.80      1.40      1.00      1.40      0.00      0.00      0.00      0.00      0.00
04:43:00         3.20      0.00      0.80      0.80      0.80      0.00      0.00      0.00      0.00      0.00
04:43:05         3.20      0.00      0.80      0.80      0.80      0.00      0.00      0.00      0.00      0.00
04:43:10         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:43:15         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:43:20         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:43:25         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:43:30         4.80   7102.40      1.20      1.20     53.00      0.00      0.00      0.00      0.00      0.00
04:43:35         3.20   1163.20      0.80      0.80      9.60      0.00      0.00      0.00      0.00      0.00
04:43:40         0.80      0.00      0.20      0.20      0.20      0.00      0.00      0.00      0.00      0.00
04:43:45         3.20      0.00      0.80      0.80      0.80      0.00      0.00      0.00      0.00      0.00
04:43:50         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
04:43:55         0.80      0.00      0.20      0.20      0.20      0.00      0.00      0.00      0.00      0.00
04:44:00         4.00   2495.20      1.00      1.00     18.80      0.00      0.00      0.00      0.00      0.00
04:44:05         4.80   2698.40      1.20      1.20     21.00      0.00      0.00      0.00      0.00      0.00
04:44:10         3.20   3508.00      0.80      0.80     27.60      0.00      0.00      0.00      0.00      0.00
04:44:15         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:44:20         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:44:25         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
04:44:30         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:44:35         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:44:40         2.40      0.00      0.60      0.60      0.60      0.00      0.00      0.00      0.00      0.00
04:44:45         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:44:50         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
04:44:55         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:45:00         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:45:05         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
04:45:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
04:45:15     88751.20  85268.00  24996.60  22188.00  20709.00  20658.60   1633.00  41236.00      0.00      0.00
04:45:20         0.80   4094.40      0.20      0.20     29.60      0.00      0.00      0.00      0.00      0.00
04:45:25         5.60    506.40      1.40      1.40      4.60      0.00      0.00      0.00      0.00      0.00
04:45:30         3.20      0.00      0.80      0.80      0.80      0.00      0.00      0.00      0.00      0.00
04:45:35         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
04:45:40         5.60      0.00      1.40      1.40      1.40      0.00      0.00      0.00      0.00      0.00
04:45:45         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
