Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

21:18:51     %scpu-10  %scpu-60 %scpu-300     %scpu
21:18:56         0.05      0.02      0.00      0.13
21:19:01         0.02      0.02      0.00      0.10
21:19:06         0.01      0.02      0.00      0.19
21:19:11         0.00      0.01      0.00      0.22
21:19:16         0.00      0.01      0.00      0.24
21:19:21         0.00      0.01      0.00      0.37
21:19:26         0.00      0.01      0.00      0.28
21:19:31         0.00      0.01      0.00      0.13
21:19:36         0.00      0.01      0.00      0.09
21:19:41         0.00      0.00      0.00      0.12
21:19:46         0.00      0.00      0.00      0.15
21:19:51         0.00      0.00      0.00      0.10
21:19:56         0.00      0.00      0.00      0.07
21:20:01         0.00      0.00      0.00      0.17
21:20:06         0.00      0.00      0.00      0.09
21:20:11         0.00      0.00      0.00      0.26
21:20:16         0.00      0.00      0.00      0.16
21:20:21         0.00      0.00      0.00      0.11
21:20:26         0.00      0.00      0.00      0.09
21:20:31         0.00      0.00      0.00      0.29
21:20:36         0.00      0.00      0.00      0.09
21:20:41         0.00      0.00      0.00      0.22
21:20:46         0.00      0.00      0.00      0.28
21:20:51         0.00      0.00      0.00      0.15
21:20:56         0.00      0.00      0.00      0.17
21:21:01         0.00      0.00      0.00      0.16
21:21:06         0.00      0.00      0.00      0.24
21:21:11         0.00      0.00      0.00      0.15
21:21:16         0.00      0.00      0.00      0.02
21:21:21         0.00      0.00      0.00      0.16
21:21:26         0.00      0.00      0.00      0.06
21:21:31         0.00      0.00      0.00      0.07
21:21:36         0.00      0.00      0.00      0.07
21:21:41         0.00      0.00      0.00      0.06
21:21:46         0.00      0.00      0.00      0.05
21:21:51         0.00      0.00      0.00      0.08
21:21:56         0.00      0.00      0.00      0.08
21:22:01         0.00      0.00      0.00      0.04
21:22:06         0.00      0.00      0.00      0.04
21:22:11         0.00      0.00      0.00      0.11
21:22:16         0.00      0.00      0.00      0.06
21:22:21         0.00      0.00      0.00      0.05
21:22:26         0.00      0.00      0.00      0.05
21:22:31         0.00      0.00      0.00      0.04
21:22:36         0.00      0.00      0.00      0.02
21:22:41         0.00      0.00      0.00      0.11
21:22:46         0.00      0.00      0.00      0.06
21:22:51         0.00      0.00      0.00      0.06
21:22:56         0.00      0.00      0.00      0.05
21:23:01         0.00      0.00      0.00      0.11
21:23:06         0.00      0.00      0.00      0.02
21:23:11         0.00      0.00      0.00      0.03
21:23:16         0.00      0.00      0.00      0.05
21:23:21         0.00      0.00      0.00      0.04
21:23:26         0.00      0.00      0.00      0.02
21:23:31         0.00      0.00      0.00      0.08
21:23:36         0.00      0.00      0.00      0.03
21:23:41         0.00      0.00      0.00      0.10
21:23:46         0.00      0.00      0.00      0.06
21:23:51         0.00      0.00      0.00      0.07
21:23:56         0.00      0.00      0.00      0.03
21:24:01         0.00      0.00      0.00      0.06
21:24:06         0.00      0.00      0.00      0.05
21:24:11         0.00      0.00      0.00      0.09
21:24:16         0.00      0.00      0.00      0.09
21:24:21         0.00      0.00      0.00      0.04
21:24:26         0.00      0.00      0.00      0.06
21:24:31         0.00      0.00      0.00      0.09
21:24:36         0.00      0.00      0.00      0.12
21:24:41         0.00      0.00      0.00      0.09
21:24:46         0.00      0.00      0.00      0.13
21:24:51         0.00      0.00      0.00      0.04
21:24:56         0.00      0.00      0.00      0.07
21:25:01         0.00      0.00      0.00      0.06
21:25:06         0.00      0.00      0.00      0.04
21:25:11         0.00      0.00      0.00      0.09
21:25:16         0.00      0.00      0.00      0.05
21:25:21         0.00      0.00      0.00      0.07
21:25:26         0.00      0.00      0.00      0.06
21:25:31         0.00      0.00      0.00      0.10
21:25:36         0.00      0.00      0.00      0.01
21:25:41         0.00      0.00      0.00      0.01
21:25:46         0.00      0.00      0.00      0.02
21:25:51         0.00      0.00      0.00      0.06
21:25:56         0.00      0.00      0.00      0.10
21:26:01         0.00      0.00      0.00      0.05
21:26:06         0.00      0.00      0.00      0.05
21:26:11         0.00      0.00      0.00      0.05
21:26:16         0.00      0.00      0.00      0.03
21:26:21         0.00      0.00      0.00      0.09
21:26:26         0.00      0.00      0.00      0.03
21:26:31         0.00      0.00      0.00      0.05
21:26:36         0.00      0.00      0.00      0.06
21:26:41         0.00      0.00      0.00      0.13
21:26:46         0.00      0.00      0.00      0.05
21:26:51         0.00      0.00      0.00      0.07
21:26:56         0.00      0.00      0.00      0.05
21:27:01         0.00      0.00      0.00      0.04
21:27:06         0.00      0.00      0.00      0.05
21:27:11         0.00      0.00      0.00      0.04
21:27:16         0.00      0.00      0.00      0.10
21:27:21         0.00      0.00      0.00      0.05
21:27:26         0.00      0.00      0.00      0.02
21:27:31         0.00      0.00      0.00      0.19
21:27:36         0.00      0.00      0.00      0.04
21:27:41         0.00      0.00      0.00      0.03
21:27:46         0.00      0.00      0.00      0.13
21:27:51         0.00      0.00      0.00      0.11
21:27:56         0.00      0.00      0.00      0.04
21:28:01         0.00      0.00      0.00      0.08
21:28:06         0.00      0.00      0.00      0.05
21:28:11         0.00      0.00      0.00      0.11
21:28:16         0.00      0.00      0.00      0.06
21:28:21         0.00      0.00      0.00      0.05
21:28:26         0.00      0.00      0.00      0.08
21:28:31         0.00      0.00      0.00      0.10
21:28:36         0.00      0.00      0.00      0.06
