Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48     %scpu-10  %scpu-60 %scpu-300     %scpu
17:48:53         0.05      0.02      0.00      0.03
17:48:58         0.03      0.02      0.00      0.00
17:49:03         0.01      0.02      0.00      0.01
17:49:08         0.01      0.01      0.00      0.00
17:49:13         0.15      0.04      0.00      0.55
17:49:18         0.40      0.10      0.01      0.83
17:49:23         0.21      0.09      0.01      0.05
17:49:28         0.14      0.09      0.01      0.10
17:49:33         0.07      0.08      0.01      0.08
17:49:38         0.05      0.07      0.01      0.05
17:49:43         0.02      0.06      0.01      0.10
17:49:48         0.01      0.06      0.01      0.02
17:49:53         0.00      0.05      0.01      0.07
17:49:58         0.00      0.05      0.00      0.04
17:50:03         0.00      0.04      0.00      0.05
17:50:08         0.00      0.04      0.00      0.06
17:50:13         0.00      0.03      0.00      0.01
17:50:18         0.00      0.03      0.00      0.05
17:50:23         0.00      0.03      0.00      0.01
17:50:28         0.00      0.02      0.00      0.06
17:50:33         0.00      0.02      0.00      0.02
17:50:38         0.00      0.02      0.00      0.02
17:50:43         0.00      0.02      0.00      0.03
17:50:48         0.00      0.01      0.00      0.04
17:50:53         0.00      0.01      0.00      0.01
17:50:58         0.00      0.01      0.00      0.01
17:51:03         0.00      0.01      0.00      0.08
17:51:08         0.00      0.01      0.00      0.06
17:51:13         0.00      0.01      0.00      0.03
17:51:18         0.00      0.00      0.00      0.04
17:51:23         0.00      0.00      0.00      0.09
17:51:28         0.00      0.00      0.00      0.04
17:51:33         0.00      0.00      0.00      0.05
17:51:38         0.00      0.00      0.00      0.06
17:51:43         0.00      0.00      0.00      0.06
17:51:48         0.00      0.00      0.00      0.02
17:51:53         0.00      0.00      0.00      0.02
17:51:58         0.00      0.00      0.00      0.02
17:52:03         0.00      0.00      0.00      0.03
17:52:08         0.00      0.00      0.00      0.06
17:52:13         0.00      0.00      0.00      0.05
17:52:18         0.00      0.00      0.00      0.05
17:52:23         0.00      0.00      0.00      0.06
17:52:28         0.00      0.00      0.00      0.03
17:52:33         0.00      0.00      0.00      0.01
17:52:38         0.00      0.00      0.00      0.03
17:52:43         0.00      0.00      0.00      0.08
17:52:48         0.00      0.00      0.00      0.11
17:52:53         0.00      0.00      0.00      0.05
17:52:58         0.00      0.00      0.00      0.08
17:53:03         0.00      0.00      0.00      0.08
17:53:08         0.00      0.00      0.00      0.01
17:53:13         0.00      0.00      0.00      0.20
17:53:18         0.00      0.00      0.00      0.15
17:53:23         0.00      0.00      0.00      0.03
17:53:28         0.00      0.00      0.00      0.05
17:53:33         0.00      0.00      0.00      0.02
17:53:38         0.00      0.00      0.00      0.03
17:53:43         0.00      0.00      0.00      0.02
17:53:48         0.00      0.00      0.00      0.04
17:53:53         0.00      0.00      0.00      0.10
17:53:58         0.00      0.00      0.00      0.05
17:54:03         0.00      0.00      0.00      0.03
17:54:08         0.00      0.00      0.00      0.05
17:54:13         0.00      0.00      0.00      0.07
17:54:18         0.00      0.00      0.00      0.02
17:54:23         0.00      0.00      0.00      0.06
17:54:28         0.00      0.00      0.00      0.04
17:54:33         0.00      0.00      0.00      0.07
17:54:38         0.00      0.00      0.00      0.03
17:54:43         0.00      0.00      0.00      0.03
17:54:48         0.00      0.00      0.00      0.04
17:54:53         0.00      0.00      0.00      0.02
17:54:58         0.00      0.00      0.00      0.02
17:55:03         0.00      0.00      0.00      0.04
17:55:08         0.00      0.00      0.00      0.07
17:55:13         0.00      0.00      0.00      0.05
17:55:18         0.00      0.00      0.00      0.08
17:55:23         0.00      0.00      0.00      0.02
17:55:28         0.00      0.00      0.00      0.04
17:55:33         0.00      0.00      0.00      0.03
17:55:38         0.00      0.00      0.00      0.05
17:55:43         0.00      0.00      0.00      0.01
17:55:48         0.00      0.00      0.00      0.07
17:55:53         0.00      0.00      0.00      0.02
17:55:58         0.00      0.00      0.00      0.04
17:56:03         0.00      0.00      0.00      0.04
17:56:08         0.00      0.00      0.00      0.02
17:56:13         0.00      0.00      0.00      0.06
17:56:18         0.00      0.00      0.00      0.01
17:56:23         0.00      0.00      0.00      0.05
17:56:28         0.00      0.00      0.00      0.05
17:56:33         0.00      0.00      0.00      0.07
17:56:38         0.00      0.00      0.00      0.05
17:56:43         0.00      0.00      0.00      0.09
17:56:48         0.00      0.00      0.00      0.07
17:56:53         0.00      0.00      0.00      0.04
17:56:58         0.00      0.00      0.00      0.02
17:57:03         0.00      0.00      0.00      0.02
17:57:08         0.00      0.00      0.00      0.06
17:57:13         0.00      0.00      0.00      0.03
17:57:18         0.00      0.00      0.00      0.03
17:57:23         0.00      0.00      0.00      0.03
17:57:28         0.00      0.00      0.00      0.07
17:57:33         0.00      0.00      0.00      0.03
17:57:38         0.00      0.00      0.00      0.24
17:57:43         0.00      0.00      0.00      0.04
17:57:48         0.00      0.00      0.00      0.08
17:57:53         0.00      0.00      0.00      0.12
17:57:58         0.00      0.00      0.00      0.05
17:58:03         0.00      0.00      0.00      0.15
17:58:08         0.00      0.00      0.00      0.11
17:58:13         0.00      0.00      0.00      0.04
17:58:18         0.00      0.00      0.00      0.07
17:58:23         0.00      0.00      0.00      0.05
17:58:28         0.00      0.00      0.00      0.05
17:58:33         0.00      0.00      0.00      0.07
17:58:38         0.00      0.00      0.00      0.06
17:58:43         0.00      0.00      0.00      0.02
17:58:48         0.00      0.00      0.00      0.10
17:58:53         0.00      0.00      0.00      0.04
17:58:58         0.00      0.00      0.00      0.04
17:59:03         0.00      0.00      0.00      0.07
17:59:08         0.00      0.00      0.00      0.03
17:59:13         0.00      0.00      0.00      0.06
17:59:18         0.00      0.00      0.00      0.04
17:59:23         0.00      0.00      0.00      0.12
17:59:28         0.00      0.00      0.00      0.02
17:59:33         0.00      0.00      0.00      0.03
17:59:38         0.00      0.00      0.00      0.05
17:59:43         0.00      0.00      0.00      0.06
17:59:48         0.00      0.00      0.00      0.04
17:59:53         0.00      0.00      0.00      0.05
17:59:58         0.00      0.00      0.00      0.04
18:00:03         0.00      0.00      0.00      0.03
18:00:08         0.00      0.00      0.00      0.04
18:00:13         0.00      0.00      0.00      0.02
18:00:18         0.00      0.00      0.00      0.05
18:00:23         0.00      0.00      0.00      0.04
18:00:28         0.00      0.00      0.00      0.02
18:00:33         0.00      0.00      0.00      0.03
18:00:38         0.00      0.00      0.00      0.03
18:00:43         0.00      0.00      0.00      0.07
18:00:48         0.00      0.00      0.00      0.03
18:00:53         0.00      0.00      0.00      0.02
18:00:58         0.00      0.00      0.00      0.04
18:01:03         0.00      0.00      0.00      0.06
18:01:08         0.00      0.00      0.00      0.05
18:01:13         0.00      0.00      0.00      0.05
18:01:18         0.00      0.00      0.00      0.06
18:01:23         0.00      0.00      0.00      0.05
18:01:28         0.00      0.00      0.00      0.06
18:01:33         0.00      0.00      0.00      0.04
18:01:38         0.00      0.00      0.00      0.06
18:01:43         0.00      0.00      0.00      0.08
18:01:48         0.00      0.00      0.00      0.02
18:01:53         0.00      0.00      0.00      0.11
18:01:58         0.00      0.00      0.00      0.03
18:02:03         0.00      0.00      0.00      0.01
18:02:08         0.00      0.00      0.00      0.02
18:02:13         0.00      0.00      0.00      0.05
18:02:18         0.00      0.00      0.00      0.04
18:02:23         0.00      0.00      0.00      0.03
18:02:28         0.00      0.00      0.00      0.17
18:02:33         0.00      0.00      0.00      0.09
18:02:38         0.00      0.00      0.00      0.05
18:02:43         0.00      0.00      0.00      0.08
18:02:48         0.00      0.00      0.00      0.04
18:02:53         0.00      0.00      0.00      0.02
18:02:58         0.00      0.00      0.00      0.02
18:03:03         0.00      0.00      0.00      0.08
18:03:08         0.00      0.00      0.00      0.07
18:03:13         0.00      0.00      0.00      0.09
18:03:18         0.00      0.00      0.00      0.03
18:03:23         0.00      0.00      0.00      0.01
18:03:28         0.00      0.00      0.00      0.05
18:03:33         0.00      0.00      0.00      0.07
18:03:38         0.00      0.00      0.00      0.02
18:03:43         0.00      0.00      0.00      0.05
18:03:48         0.00      0.00      0.00      0.02
18:03:53         0.00      0.00      0.00      0.02
18:03:58         0.00      0.00      0.00      0.01
18:04:03         0.00      0.00      0.00      0.01
18:04:08         0.00      0.00      0.00      0.07
18:04:13         0.00      0.00      0.00      0.12
18:04:18         0.00      0.00      0.00      0.00
18:04:23         0.00      0.00      0.00      0.01
18:04:28         0.00      0.00      0.00      0.06
