Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
17:48:53         0.00      0.00 180695.03     18.49    727.83      0.00      0.00      0.00      0.00      0.00
17:48:58         0.00      0.00 133781.93     28.92    526.51      0.00      0.00      0.00      0.00      0.00
17:49:03         0.00      0.00  52672.20     29.80    844.60      0.00      0.00      0.00      0.00      0.00
17:49:08         0.00      0.00  26457.80     29.60    841.80      0.00      0.00      0.00      0.00      0.00
17:49:13       230.40  40664.00  13432.00    101.80  13556.80   8485.20   4420.20  25299.20      0.00      0.00
17:49:18        99.20  28211.20   6839.20     61.40   7370.40   5926.40   1126.40  14105.60      0.00      0.00
17:49:23         0.00  12134.40   3524.20     29.40   3939.80   2214.40    819.20   6067.20      0.00      0.00
17:49:28         0.00   6144.00   6809.80     29.60   7301.80   1497.60     38.40   3072.00      0.00      0.00
17:49:33         0.00   5632.00  10906.20     30.20  12116.80   1395.20     12.80   2816.00      0.00      0.00
17:49:38         0.00  10598.40   9653.00     24.60  11281.80   2214.40     25.60   4480.00      0.00      0.00
17:49:43         0.00  52428.80  22553.20      0.40  23103.40      0.00      0.00      0.00      0.00      0.00
17:49:48         0.00   7475.20  13930.60      0.40  15434.00   1868.80      0.00   3737.60      0.00      0.00
17:49:53         0.00  13107.20  13517.80      0.20  10749.20      0.00      0.00      0.00      0.00      0.00
17:49:58         0.00   9830.40   5325.20      0.00   5879.60      0.00      0.00      0.00      0.00      0.00
17:50:03         0.00      0.00  16029.60      0.00  15669.40      0.00      0.00      0.00      0.00      0.00
17:50:08         0.00      0.00  15793.80      0.00  36549.60      0.00      0.00      0.00      0.00      0.00
17:50:13         0.00      0.00  30090.40      0.20   5349.00      0.00      0.00      0.00      0.00      0.00
17:50:18         0.00   3276.80  35636.00      0.00  21939.00      0.00      0.00      0.00      0.00      0.00
17:50:23         0.00      0.00  11982.00      0.00  12022.80      0.00      0.00      0.00      0.00      0.00
17:50:28         0.00   1638.40  10240.20      0.00   9569.60      0.00      0.00      0.00      0.00      0.00
17:50:33         0.00      0.00  13517.20      0.00  10284.40      0.00      0.00      0.00      0.00      0.00
17:50:38         0.00      0.00  12289.00      0.00  11920.00      0.00      0.00      0.00      0.00      0.00
17:50:43         0.00      0.00   9063.00      0.00   9047.60      0.00      0.00      0.00      0.00      0.00
17:50:48         0.00      0.00  21711.60      0.00  21773.00      0.00      0.00      0.00      0.00      0.00
17:50:53         0.00      0.00  14745.80      0.00  14388.00      0.00      0.00      0.00      0.00      0.00
17:50:58         0.00      0.00   9011.20      0.00   8636.60      0.00      0.00      0.00      0.00      0.00
17:51:03         0.00      0.00   6144.20      0.00   4530.60      0.00      0.00      0.00      0.00      0.00
17:51:08         0.00      0.00  59932.40      0.00  67745.00      0.00      0.00      0.00      0.00      0.00
17:51:13         0.00   4915.20  95929.80      0.00  35936.80      0.00      0.00      0.00      0.00      0.00
17:51:18         0.00      0.00   6553.60      0.00   6172.20      0.00      0.00      0.00      0.00      0.00
17:51:23         0.00      0.00  29023.95      0.00  29104.19      0.00      0.00      0.00      0.00      0.00
17:51:28         0.00      0.00   5734.40      0.00   5348.80      0.00      0.00      0.00      0.00      0.00
17:51:33         0.00   1638.40   9421.00      0.00   9488.00      0.00      0.00      0.00      0.00      0.00
17:51:38         0.00   2654.40  10240.00      0.00   7976.80      0.00      0.00      0.00      0.00      0.00
17:51:43         0.00      0.00  13621.00      0.00  13565.00      0.00      0.00      0.00      0.00      0.00
17:51:48         0.00   3276.80   9420.80      0.00   9042.40      0.00      0.00      0.00      0.00      0.00
17:51:53         0.00      0.00  18432.20      0.00  18484.80      0.00      0.00      0.00      0.00      0.00
17:51:58         0.00      0.00  15974.60      0.00  15619.40      0.00      0.00      0.00      0.00      0.00
17:52:03         0.00  13107.20  10240.40      0.00  10323.20      0.00      0.00      0.00      0.00      0.00
17:52:08         0.00      0.00   5324.80      0.00   5349.60      0.00      0.00      0.00      0.00      0.00
17:52:13         0.00      0.00  16384.20      0.00  16029.40      0.00      0.00      0.00      0.00      0.00
17:52:18         0.80      0.00  34818.80      0.20  34907.40      0.00      0.00      0.00      0.00      0.00
17:52:23         0.00   4127.20   7372.80      0.00   7413.20      0.00      0.00      0.00      0.00      0.00
17:52:28         0.00      0.00  28262.40      0.00  28342.80      0.00      0.00      0.00      0.00      0.00
17:52:33         0.00      0.00   6144.00      0.00   6172.40      0.00      0.00      0.00      0.00      0.00
17:52:38         0.00   6553.60   8601.60      0.00   9056.40      0.00      0.00      0.00      0.00      0.00
17:52:43         0.00   1638.40  10240.20      0.00   9455.60      0.00      0.00      0.00      0.00      0.00
17:52:48         0.00      0.00  20070.40      0.00  13565.00      0.00      0.00      0.00      0.00      0.00
17:52:53         0.00      0.00  10241.20      0.00   9053.80      0.00      0.00      0.00      0.00      0.00
17:52:58         0.00      0.00  31539.20      0.00  18074.80      0.00      0.00      0.00      0.00      0.00
17:53:03         0.00      0.00  15155.40      0.00  15207.00      0.00      0.00      0.00      0.00      0.00
17:53:08         0.00   8272.00   9420.80      0.00   9891.80      0.00      0.00      0.00      0.00      0.00
17:53:13         0.00      0.00  21728.40      0.00 112061.60      0.00      0.00      0.00      0.00      0.00
17:53:18         0.00      0.00 152917.60      0.00  61580.00      0.00      0.00      0.00      0.00      0.00
17:53:23         0.00   8192.00  41713.20      0.00  41086.40      0.00      0.00      0.00      0.00      0.00
17:53:28         0.00      0.00  21626.60      0.00  19306.80      0.00      0.00      0.00      0.00      0.00
17:53:33         0.00      0.00  11059.20      0.00  10284.60      0.00      0.00      0.00      0.00      0.00
17:53:38         0.00      0.00  11878.60      0.00  10278.20      0.00      0.00      0.00      0.00      0.00
17:53:43         0.00      0.00  11059.20      0.00   9458.00      0.00      0.00      0.00      0.00      0.00
17:53:48         0.00      1.60   5943.40      0.00   6765.60  28684.80      0.00   2786.80      0.00      0.00
17:53:53         0.00  11315.20  18079.40      0.00  18705.80   2009.60      0.00   4019.20      0.00      0.00
17:53:58         0.00      0.00   9345.51      0.00   8618.96      0.00      0.00      0.00      0.00      0.00
17:54:03         0.00      0.00  18841.80      0.00  18895.60      0.00      0.00      0.00      0.00      0.00
17:54:08         0.00   3276.80  15564.80      0.00  15236.20      0.00      0.00      0.00      0.00      0.00
17:54:13         0.00   3276.80   8230.40      0.00   8748.20      0.00      0.00      0.00      0.00      0.00
17:54:18         0.00   1638.40   8563.20      0.00   5351.00      0.00      0.00      0.00      0.00      0.00
17:54:23         0.00   1638.40  10240.00      0.00  10283.80      0.00      0.00      0.00      0.00      0.00
17:54:28         0.00      0.00  38912.20      0.00  39011.80      0.00      0.00      0.00      0.00      0.00
17:54:33         0.00   3276.80  22118.40      0.00  21771.60      0.00      0.00      0.00      0.00      0.00
17:54:38         0.00   4729.60   9420.80      0.00   9050.60      0.00      0.00      0.00      0.00      0.00
17:54:43         0.00   6553.60  13516.80      0.00  13622.40      0.00      0.00      0.00      0.00      0.00
