Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
17:48:53         0.05      0.02      0.00      0.10      0.05      0.02      0.00      0.10
17:48:58         0.03      0.02      0.00      0.00      0.03      0.02      0.00      0.00
17:49:03         0.01      0.02      0.00      0.02      0.01      0.02      0.00      0.02
17:49:08         0.01      0.01      0.00      0.01      0.01      0.01      0.00      0.01
17:49:13         0.00      0.01      0.00      0.47      0.00      0.01      0.00      0.37
17:49:18         0.00      0.01      0.00      0.24      0.00      0.01      0.00      0.24
17:49:23         0.00      0.01      0.00      0.04      0.00      0.01      0.00      0.04
17:49:28         0.18      0.04      0.00      0.65      0.18      0.04      0.00      0.65
17:49:33         0.09      0.04      0.00      0.19      0.09      0.04      0.00      0.19
17:49:38         0.06      0.03      0.00      0.04      0.06      0.03      0.00      0.04
17:49:43         0.15      0.06      0.01      0.43      0.03      0.03      0.00      0.37
17:49:48         0.10      0.05      0.00      0.01      0.02      0.02      0.00      0.01
17:49:53         0.05      0.05      0.00      0.01      0.01      0.02      0.00      0.01
17:49:58         0.03      0.04      0.00      0.00      0.00      0.02      0.00      0.00
17:50:03         0.02      0.04      0.00      0.01      0.00      0.02      0.00      0.01
17:50:08         0.01      0.04      0.00      0.00      0.00      0.02      0.00      0.00
17:50:13         0.00      0.03      0.00      0.00      0.00      0.01      0.00      0.00
17:50:18         0.00      0.03      0.00      0.01      0.00      0.01      0.00      0.00
17:50:23         0.00      0.02      0.00      0.01      0.00      0.01      0.00      0.00
17:50:28         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
17:50:33         0.00      0.02      0.00      0.00      0.00      0.01      0.00      0.00
17:50:38         0.00      0.02      0.00      0.01      0.00      0.00      0.00      0.01
17:50:43         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
17:50:48         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
17:50:53         0.00      0.01      0.00      0.01      0.00      0.00      0.00      0.01
17:50:58         0.00      0.01      0.00      0.01      0.00      0.00      0.00      0.01
17:51:03         0.00      0.01      0.00      0.01      0.00      0.00      0.00      0.01
17:51:08         0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00
17:51:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:51:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:51:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:51:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:51:33         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:51:38         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
17:51:43         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
17:51:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
17:51:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
