Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

07:07:36     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
07:07:41         0.00      0.00 300784.20      0.00    549.20      0.00      0.00      0.00      0.00      0.00
07:07:46         0.00      0.00 119025.40      0.00      0.20      0.00      0.00      0.00      0.00      0.00
07:07:51         0.00      0.00      0.00      0.00      1.40      0.00      0.00      0.00      0.00      0.00
07:07:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:01         0.00      0.00      0.00      0.00      1.60      0.00      0.00      0.00      0.00      0.00
07:08:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:08:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:11         0.00      0.00 209714.80      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:09:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:10:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:10:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
07:10:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
