Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

08:08:01     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
08:08:06         0.00      0.00 304985.00      0.00    554.80      0.00      0.00      0.00      0.00      0.00
08:08:11         0.00      0.00 114804.00      0.00      1.80      0.00      0.00      0.00      0.00      0.00
08:08:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:21         0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00
08:08:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:08:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:36         0.00      0.00 209714.80      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
