Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

08:08:01      %sio-10   %sio-60  %sio-300      %sio   %fio-10   %fio-60  %fio-300      %fio
08:08:06         0.24      0.06      0.01      0.00      0.24      0.06      0.01      0.00
08:08:11         0.16      0.05      0.01      0.00      0.16      0.05      0.01      0.00
08:08:16         0.08      0.05      0.01      0.00      0.08      0.05      0.01      0.00
08:08:21         0.05      0.04      0.00      0.00      0.05      0.04      0.00      0.00
08:08:26         0.03      0.04      0.00      0.00      0.03      0.04      0.00      0.00
08:08:31         0.02      0.03      0.00      0.00      0.02      0.03      0.00      0.00
08:08:36         0.01      0.03      0.00      0.00      0.01      0.03      0.00      0.00
08:08:41         0.00      0.03      0.00      0.00      0.00      0.03      0.00      0.00
08:08:46         0.00      0.02      0.00      0.00      0.00      0.02      0.00      0.00
08:08:51         0.00      0.02      0.00      0.00      0.00      0.02      0.00      0.00
08:08:56         0.00      0.02      0.00      0.00      0.00      0.02      0.00      0.00
08:09:01         0.00      0.02      0.00      0.00      0.00      0.02      0.00      0.00
08:09:06         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
08:09:11         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
08:09:16         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
08:09:21         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
08:09:26         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
08:09:31         0.00      0.01      0.00      0.00      0.00      0.01      0.00      0.00
08:09:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:09:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:10:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:31         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
08:11:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:11:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:01         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:06         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:12:16         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:12:21         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:12:26         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:12:31         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:12:36         0.00      0.00      0.00      0.04      0.00      0.00      0.00      0.03
08:12:41         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.00
08:12:46         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:12:51         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:12:56         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:13:01         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:13:06         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:13:11         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:13:16         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:13:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:13:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:13:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:13:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:13:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:13:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
08:13:51         0.00      0.00      0.00      0.01      0.00      0.00      0.00      0.01
08:13:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
