Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

06:07:14     %scpu-10  %scpu-60 %scpu-300     %scpu
06:07:19         0.60      0.15      0.03      0.05
06:07:24         0.40      0.14      0.03      0.02
06:07:29         0.22      0.12      0.03      0.00
06:07:34         0.14      0.11      0.02      0.00
06:07:39         0.08      0.10      0.02      0.00
06:07:44         0.05      0.10      0.02      0.00
06:07:49         0.02      0.08      0.02      0.00
06:07:54         0.01      0.08      0.02      0.00
06:07:59         0.00      0.07      0.02      0.00
06:08:04         0.00      0.06      0.02      0.00
06:08:09         0.00      0.06      0.02      0.00
06:08:14         0.00      0.05      0.02      0.00
06:08:19         0.00      0.05      0.01      0.00
06:08:24         0.00      0.04      0.01      0.00
06:08:29         0.00      0.04      0.01      0.00
06:08:34         0.00      0.03      0.01      0.00
06:08:39         0.00      0.03      0.01      0.00
06:08:44         0.00      0.03      0.01      0.00
06:08:49         0.00      0.02      0.01      0.00
06:08:54         0.00      0.02      0.01      0.00
06:08:59         0.00      0.02      0.00      0.00
06:09:04         0.00      0.02      0.00      0.00
06:09:09         0.00      0.01      0.00      0.01
06:09:14         0.00      0.01      0.00      0.00
06:09:19         0.00      0.01      0.00      0.00
06:09:24         0.00      0.01      0.00      0.00
06:09:29         0.00      0.01      0.00      0.02
06:09:34         0.00      0.01      0.00      0.00
06:09:39         0.00      0.00      0.00      0.00
06:09:44         0.00      0.00      0.00      0.00
06:09:49         0.00      0.00      0.00      0.00
06:09:54         0.00      0.00      0.00      0.00
06:09:59         0.00      0.00      0.00      0.00
06:10:04         0.00      0.00      0.00      0.00
06:10:09         0.00      0.00      0.00      0.00
06:10:14         0.00      0.00      0.00      0.00
06:10:19         0.00      0.00      0.00      0.00
06:10:24         0.00      0.00      0.00      0.00
06:10:29         0.00      0.00      0.00      0.00
06:10:34         0.00      0.00      0.00      0.00
06:10:39         0.00      0.00      0.00      0.00
06:10:44         0.00      0.00      0.00      0.00
06:10:49         0.00      0.00      0.00      0.00
06:10:54         0.00      0.00      0.00      0.00
06:10:59         0.00      0.00      0.00      0.00
06:11:04         0.00      0.00      0.00      0.00
06:11:09         0.00      0.00      0.00      0.02
06:11:14         0.00      0.00      0.00      0.00
06:11:19         0.00      0.00      0.00      0.00
06:11:24         0.00      0.00      0.00      0.00
06:11:29         0.00      0.00      0.00      0.00
06:11:34         0.00      0.00      0.00      0.00
06:11:39         0.00      0.00      0.00      0.00
06:11:44         0.00      0.00      0.00      0.00
06:11:49         0.00      0.00      0.00      0.23
06:11:54         0.00      0.00      0.00      0.03
06:11:59         0.00      0.00      0.00      0.01
06:12:04         0.00      0.00      0.00      0.00
06:12:09         0.00      0.00      0.00      0.00
06:12:14         0.00      0.00      0.00      0.01
06:12:19         0.00      0.00      0.00      0.01
06:12:24         0.00      0.00      0.00      0.01
06:12:29         0.00      0.00      0.00      0.01
06:12:34         0.00      0.00      0.00      0.00
06:12:39         0.00      0.00      0.00      0.00
06:12:44         0.00      0.00      0.00      0.00
06:12:49         0.00      0.00      0.00      0.01
06:12:54         0.00      0.00      0.00      0.01
06:12:59         0.00      0.00      0.00      0.01
06:13:04         0.00      0.00      0.00      0.01
06:13:09         0.00      0.00      0.00      0.01
06:13:14         0.00      0.00      0.00      0.01
06:13:19         0.00      0.00      0.00      0.01
06:13:24         0.00      0.00      0.00      0.01
06:13:29         0.00      0.00      0.00      0.01
06:13:34         0.00      0.00      0.00      0.01
06:13:39         0.00      0.00      0.00      0.01
06:13:44         0.00      0.00      0.00      0.01
06:13:49         0.00      0.00      0.00      0.01
06:13:54         0.00      0.00      0.00      0.01
06:13:59         0.00      0.00      0.00      0.01
06:14:04         0.00      0.00      0.00      0.01
06:14:09         0.00      0.00      0.00      0.01
06:14:14         0.00      0.00      0.00      0.01
06:14:19         0.00      0.00      0.00      0.01
06:14:24         0.00      0.00      0.00      0.01
06:14:29         0.00      0.00      0.00      0.01
06:14:34         0.00      0.00      0.00      0.01
06:14:39         0.00      0.00      0.00      0.01
06:14:44         0.00      0.00      0.00      0.01
06:14:49         0.00      0.00      0.00      0.01
06:14:54         0.00      0.00      0.00      0.01
06:14:59         0.00      0.00      0.00      0.01
06:15:04         0.00      0.00      0.00      0.01
06:15:09         0.00      0.00      0.00      0.01
06:15:14         0.00      0.00      0.00      0.01
06:15:19         0.00      0.00      0.00      0.01
06:15:24         0.00      0.00      0.00      0.01
06:15:29         0.00      0.00      0.00      0.01
06:15:34         0.00      0.00      0.00      0.01
06:15:39         0.00      0.00      0.00      0.01
06:15:44         0.00      0.00      0.00      0.01
06:15:49         0.00      0.00      0.00      0.01
06:15:54         0.00      0.00      0.00      0.01
06:15:59         0.00      0.00      0.00      0.01
06:16:04         0.00      0.00      0.00      0.01
06:16:09         0.00      0.00      0.00      0.01
