Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

06:07:14     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s  pgprom/s   pgdem/s
06:07:19         0.00      0.00 303393.00      0.00    550.60      0.00      0.00      0.00      0.00      0.00
06:07:24         0.00      0.00 116402.40      0.00      1.20      0.00      0.00      0.00      0.00      0.00
06:07:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:07:34         0.00      0.00      0.00      0.00      0.80      0.00      0.00      0.00      0.00      0.00
06:07:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:07:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:07:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:07:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:07:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:04         0.00      0.00      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00
06:08:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:49         0.00      0.00 209714.80      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:08:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:09:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:10:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:04         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:29         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:11:49        31.08   5023.11 164243.43     17.53   3001.99  97816.33 102262.15   5918.92      0.00      0.00
06:11:54       981.96  95833.27  46833.67    245.69  23960.92  18905.01   5040.48  47926.85      0.00      0.00
06:11:59         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:04         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:09         5.60      0.00      1.40      1.40      1.40      0.00      0.00      0.00      0.00      0.00
06:12:14         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:19         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
06:12:24         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:29         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
06:12:34         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:39         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:44         1.60      0.00      0.40      0.40      0.40      0.00      0.00      0.00      0.00      0.00
06:12:49         4.80      0.00      1.20      1.20      2.00      0.00      0.00      0.00      0.00      0.00
06:12:54         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:12:59         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:13:04         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
06:13:09         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:13:14         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:13:19         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
06:13:24         4.00      0.00      1.00      1.00      1.00      0.00      0.00      0.00      0.00      0.00
06:13:29         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
06:13:34         4.80      0.00      1.20      1.20      1.20      0.00      0.00      0.00      0.00      0.00
